B01|447,447,446,444,441,440,440,440,438,435,429,424,414,404,395,390,385,383
B02|637,625,609,598,592,595,601,611,615,612,600,588,568,549,529,519,509,504
B03|629,630,631,632,632,632,630,629,631,637,644,650,663,681,701,719,736,745
B04|450,448,447,444,438,431,425,414,404,394,390,385,379,379,386,401,416,424
B05|577,582,591,597,596,586,576,555,535,516,505,495,478,468,464,476,488,494
B06|626,624,622,622,626,632,637,649,667,687,705,721,746,771,798,821,844,856
B07|441,433,423,411,402,395,388,389,396,411,426,452,480,501,504,499,493,491
B08|608,590,569,544,526,511,491,481,478,489,501,525,552,572,574,565,557,552
B09|619,629,645,666,686,705,731,756,784,806,829,870,911,940,940,925,913,905
B10|399,393,391,394,405,418,444,472,494,496,491,488,485,482,501,528,565,576
B11|522,508,494,486,490,499,523,551,572,575,567,559,551,543,519,490,458,450
B12|676,695,721,753,787,818,862,901,929,929,914,902,891,884,900,926,961,972
B13|398,420,447,473,485,486,484,480,477,495,522,558,580,603,636,666,692,698
B14|481,503,533,560,573,572,565,556,549,523,493,458,440,422,410,404,405,409
B15|823,857,901,939,954,950,942,930,923,940,967,1005,1028,1050,1074,1093,1107,1110
B16|500,500,499,496,513,539,575,597,619,651,679,705,717,729,749,769,790,794
B17|569,564,556,545,517,487,454,438,423,411,405,408,414,419,444,475,512,525
B18|969,962,953,945,959,984,1020,1044,1065,1088,1107,1120,1126,1131,1139,1146,1152,1154
B19|490,507,532,561,602,636,664,674,685,703,722,739,746,751,752,753,751,752
B20|479,464,445,425,406,396,396,403,409,433,464,502,526,551,578,599,614,618
B21|928,946,970,996,1028,1052,1068,1071,1076,1084,1091,1097,1100,1104,1108,1112,1116,1117
B22|672,685,700,725,750,774,784,789,790,791,790,791,792,793,794,795,797,797
B23|380,386,393,419,455,495,523,547,574,596,611,618,625,636,647,657,663,665
B24|1079,1084,1091,1100,1111,1119,1124,1128,1132,1136,1139,1141,1143,1146,1150,1153,1155,1156
B25|732,736,740,743,746,747,749,749,751,752,754,755,758,762,768,772,776,776
B26|454,475,505,541,575,600,612,618,629,640,651,657,661,665,669,671,672,672
B27|1117,1119,1123,1128,1133,1137,1139,1141,1144,1148,1151,1153,1155,1158,1161,1163,1164,1165
B28|753,754,756,759,763,766,768,771,775,781,786,789,792,794,797,798,800,800
B29|620,627,637,653,670,685,694,699,703,707,709,710,710,710,710,710,710,710
B30|1141,1142,1145,1149,1153,1157,1160,1162,1165,1168,1170,1171,1174,1177,1180,1182,1183,1184
